,RIC,Date,Gamma Estimate,CI Lower Bound,CI Upper Bound
491,SCHN.S,2024-02-16,1.853147404607814e-08,4.9503126123698144e-09,3.2112635479786464e-08
492,SCHN.S,2024-02-19,4.411962440238019e-08,2.5997119673509727e-08,6.224212913125065e-08
493,SCHN.S,2024-02-20,1.0394769718630816e-08,7.108400125328484e-09,1.3681139311933149e-08
494,SCHN.S,2024-02-21,2.362409647932785e-07,9.340870091571992e-08,3.7907322867083705e-07
495,SCHN.S,2024-02-22,2.6966865816354333e-08,9.8072747316901e-09,4.4126456901018566e-08
496,SCHN.S,2024-02-23,2.0409172243609723e-08,1.1084965120529721e-08,2.9733379366689725e-08
497,SCHN.S,2024-02-26,9.963334526891626e-09,4.692325507479754e-09,1.5234343546303497e-08
498,SCHN.S,2024-02-27,9.20902647678002e-09,2.6477257156107157e-09,1.5770327237949323e-08
499,SCHN.S,2024-02-28,3.408900317589547e-09,1.1607843142579728e-09,5.6570163209211216e-09
500,SCHN.S,2024-02-29,1.5905601353810677e-08,-1.2016577206867775e-08,4.382777991448913e-08
501,SCHN.S,2024-03-01,5.474314669508671e-09,4.682126144352476e-09,6.266503194664866e-09
502,SCHN.S,2024-03-04,1.2111288005741486e-08,7.558269781395086e-09,1.6664306230087885e-08
503,SCHN.S,2024-03-05,1.0052991795217114e-08,5.1729307364208456e-09,1.493305285401338e-08
504,SCHN.S,2024-03-06,1.0288621331139112e-08,-1.3398246118374738e-08,3.397548878065296e-08
505,SCHN.S,2024-03-07,6.865995299455906e-09,4.86500392467568e-09,8.866986674236131e-09
506,SCHN.S,2024-03-08,4.522126254457186e-08,5.622698369985268e-09,8.481982671915844e-08
507,SCHN.S,2024-03-11,7.531854620234036e-09,4.693503475947264e-09,1.037020576452081e-08
508,SCHN.S,2024-03-12,5.832530639477158e-09,8.505659853047504e-11,1.158000468042384e-08
509,SCHN.S,2024-03-13,3.288883046646008e-09,1.9086965532002286e-09,4.6690695400917876e-09
510,SCHN.S,2024-03-14,2.333713508177162e-08,1.2343809517288285e-09,4.5439889211814415e-08
511,SCHN.S,2024-03-15,4.130825035480519e-09,1.5801946875338583e-09,6.68145538342718e-09
512,SCHN.S,2024-03-18,1.959351539440704e-08,1.2222018683596899e-08,2.696501210521718e-08
513,SCMN.S,2023-12-21,1.1012992280641522e-08,6.973772039620657e-09,1.5052212521662386e-08
514,SCMN.S,2023-12-22,2.8785338286278503e-09,3.161766938686658e-10,5.4408909633870345e-09
515,SCMN.S,2023-12-27,4.099881824193557e-08,3.346803294264772e-08,4.8529603541223415e-08
516,SCMN.S,2023-12-28,2.900843827358979e-09,1.7869635460519462e-09,4.014724108666012e-09
517,SCMN.S,2023-12-29,9.461520868713536e-10,-2.2495172913913116e-09,4.141821465134019e-09
518,SCMN.S,2024-01-03,1.7029338712693433e-09,9.54655050349054e-10,2.4512126921896323e-09
519,SCMN.S,2024-01-04,2.36544803887727e-08,1.9807195495474532e-08,2.7501765282070867e-08
520,SCMN.S,2024-01-05,1.5112803883796996e-09,5.603533230237419e-10,2.4622074537356576e-09
521,SCMN.S,2024-01-08,4.927619222442125e-09,1.8024825195112895e-09,8.05275592537296e-09
522,SCMN.S,2024-01-09,6.868180699348775e-10,3.972612334569855e-10,9.763749064127695e-10
523,SCMN.S,2024-01-10,1.7175587678835349e-09,1.2760962421616324e-09,2.159021293605437e-09
524,SCMN.S,2024-01-11,4.492271888501159e-09,3.3494775545866606e-09,5.635066222415658e-09
525,SCMN.S,2024-01-12,3.429904783239074e-09,2.0025216172609126e-09,4.857287949217236e-09
526,SCMN.S,2024-01-15,3.4927675933352517e-09,2.645958122558739e-09,4.3395770641117644e-09
527,SCMN.S,2024-01-16,1.1670486574253007e-09,6.307982391270341e-10,1.7032990757235674e-09
528,SCMN.S,2024-01-17,2.5117540531908415e-09,1.447105624058846e-09,3.576402482322837e-09
529,SCMN.S,2024-01-18,5.3354533478854195e-09,3.5062830752998345e-09,7.1646236204710045e-09
530,SCMN.S,2024-01-19,3.414230669496781e-09,1.933236821336381e-09,4.895224517657181e-09
531,SCMN.S,2024-01-22,3.6624702193708516e-09,9.336603268461145e-10,6.391280111895589e-09
532,SCMN.S,2024-01-23,4.59568717194095e-09,3.2915823075258127e-09,5.8997920363560865e-09
533,SCMN.S,2024-01-24,2.8400983587929754e-09,1.7833615278005575e-09,3.896835189785394e-09
534,SCMN.S,2024-01-25,2.2033285863423775e-09,-1.1372956192875226e-09,5.543952791972278e-09
535,SCMN.S,2024-01-26,2.6541227372917124e-09,1.5083623438391897e-09,3.7998831307442355e-09
536,SCMN.S,2024-01-29,2.4410907526295775e-09,1.5279044326707968e-09,3.3542770725883583e-09
537,SCMN.S,2024-01-30,1.2888526808639497e-09,-8.678381549817345e-10,3.445543516709634e-09
