Ticker,Date,Gamma Estimate,Gamma Significance,Eta Estimate,Eta Significance,Full Model Significance,CI Lower Bound (Gamma),CI Upper Bound (Gamma),F-statistic,Model p-value,Model Significance
SCHN,2024-01-29,1.3869870069335823e-08,False,9.165352681247612e-06,False,False,-9.036090204749557e-10,2.86433491591466e-08,1.7402969346255843,0.17663420033811245,False
SCHN,2024-01-30,3.1542462926367364e-08,True,-4.112611654090174e-06,False,False,8.878521617636671e-09,5.4206404235098057e-08,3.8018818346099734,0.02316728001946458,True
SCHN,2024-01-31,3.1084491122476355e-08,True,-1.728461872376043e-05,False,False,2.0837045139235184e-08,4.1331937105717526e-08,17.795560236696346,3.2453150055227456e-08,True
SCHN,2024-02-01,7.959271989004429e-08,True,1.3316297073795e-06,False,False,6.332289297370452e-08,9.586254680638406e-08,46.106300767848815,1.0872582207912614e-19,True
SCHN,2024-02-02,2.0948180458957928e-08,False,2.166128397018231e-05,False,False,-1.9378474967961143e-09,4.383420841471197e-08,1.690853878700356,0.18571414964814498,False
SCHN,2024-02-05,1.2912852961687116e-08,True,-3.383081469432977e-05,False,False,7.514984895917531e-09,1.83107210274567e-08,12.382992237799701,4.780466327836118e-06,True
SCHN,2024-02-06,2.919157623057515e-08,True,2.9838733751527028e-05,False,False,1.7670521771766145e-08,4.071263068938416e-08,12.55474252796157,4.3345708713109855e-06,True
SCHN,2024-02-07,7.672461315933058e-09,True,3.928805863143301e-05,False,False,1.7689763828214711e-09,1.3575946249044645e-08,4.0306165396769895,0.018437168743567975,True
SCHN,2024-02-08,5.1554311359261255e-09,False,-4.2554656681197985e-05,True,False,-2.962450846879472e-09,1.3273313118731723e-08,6.061474091646928,0.0026400706636548056,True
SCHN,2024-02-09,2.68703051260396e-07,True,-2.8731730360929596e-05,False,False,1.6059460244688447e-07,3.7681150007390753e-07,13.649756419456594,2.2337896170287263e-06,True
SCHN,2024-02-12,1.8108517581091113e-08,True,-2.1955730398553744e-05,False,False,2.4306196340067167e-09,3.378641552817551e-08,2.864339642341561,0.05812484450714556,False
SCHN,2024-02-13,8.686679461448722e-08,True,6.294052926503389e-06,False,False,6.794077941071421e-08,1.0579280981826024e-07,40.589962451933296,9.192476525608817e-18,True
SCHN,2024-02-14,2.6894900384380525e-08,True,-1.1724631613503657e-06,False,False,1.638912181285263e-08,3.740067895590842e-08,12.643006781142219,4.273974687766825e-06,True
SCHN,2024-02-15,9.731653895329233e-09,False,1.4002222779786142e-05,False,False,-2.6766302735151485e-09,2.2139938064173617e-08,1.2292835327649374,0.2932256312981286,False
SCHN,2024-02-16,1.8527646384019164e-08,True,6.803078620304507e-06,False,False,4.9270301103564995e-09,3.212826265768183e-08,3.6040617828652564,0.02784267612497103,True
SCHN,2024-02-19,4.423295112948008e-08,True,-6.120874339008453e-06,False,False,2.5949361998750626e-08,6.251654026020953e-08,11.645003625908114,1.341487167421335e-05,True
SCHN,2024-02-20,1.0498513118200272e-08,True,3.2396720731528068e-06,False,False,7.19298503725741e-09,1.3804041199143134e-08,19.493435833259976,8.148228049478734e-09,True
SCHN,2024-02-21,2.527869806827913e-07,True,3.7150153533320235e-05,True,True,1.1099211128959688e-07,3.9458185007598565e-07,18.163444577851124,2.9264134782665964e-08,True
SCHN,2024-02-22,2.7046131573155314e-08,True,8.63458691392395e-06,False,False,9.804407472691177e-09,4.428785567361945e-08,4.806792225572468,0.008533141725155081,True
SCHN,2024-02-23,2.0426324728492246e-08,True,7.722154306180658e-07,False,False,1.1086518905936808e-08,2.9766130551047685e-08,9.231590969945522,0.00011557930663083933,True
SCHN,2024-02-26,9.908659197152206e-09,True,2.0397814780969488e-05,False,False,4.633882237501912e-09,1.51834361568025e-08,8.005428116046609,0.00038242823953473274,True
SCHN,2024-02-27,9.26380538332105e-09,True,2.2885488771207764e-05,False,False,2.6931865625504156e-09,1.5834424204091683e-08,4.205938027760334,0.015412157946723742,True
SCHN,2024-02-28,3.3757230923782596e-09,True,-1.4836852696009467e-05,False,False,1.11956461291283e-09,5.631881571843689e-09,5.15222009342795,0.0061899938863606355,True
SCHN,2024-02-29,1.5835000398114732e-08,False,0.00011108766063654406,False,False,-1.2124097459448145e-08,4.379409825567761e-08,0.7000352878937127,0.49708041770701383,False
SCHN,2024-03-01,5.4750380652068e-09,True,8.457482027672369e-06,False,False,4.682429667980113e-09,6.267646462433487e-09,92.67469911147265,2.7744073232181126e-36,True
SCHN,2024-03-04,1.2111216645952755e-08,True,1.397423512095436e-05,False,False,7.555301390422058e-09,1.6667131901483453e-08,14.333122190249119,7.795156088094332e-07,True
SCHN,2024-03-05,1.0051306268727966e-08,True,2.0669500679330264e-06,False,False,5.160952657795335e-09,1.4941659879660596e-08,8.195745993802865,0.00032856604805575656,True
SCHN,2024-03-06,1.064357652292976e-08,False,4.186505456450013e-05,False,False,-1.3151231353566057e-08,3.4438384399425577e-08,0.5447023695630215,0.580377006024233,False
SCHN,2024-03-07,6.950178795388147e-09,True,2.5510925899271612e-05,True,True,4.954086339946043e-09,8.946271250830252e-09,28.443279761790716,3.451122250375196e-12,True
SCHN,2024-03-08,4.583421198912989e-08,True,5.766844282687645e-06,False,False,5.808187446101308e-09,8.586023653215847e-08,2.543120278321161,0.08045526388907238,False
SCHN,2024-03-11,7.568177612801297e-09,True,9.924657491224512e-06,False,False,4.725008809410119e-09,1.0411346416192475e-08,13.810995776412472,1.2939582429517912e-06,True
SCHN,2024-03-12,5.846949899613329e-09,True,7.689048704679443e-06,False,False,8.990286301492092e-11,1.1603996936211737e-08,2.0236226970466453,0.13342392263754968,False
SCHN,2024-03-13,3.3373098234407255e-09,True,4.727380884600921e-06,False,False,1.9485881354325247e-09,4.726031511448926e-09,11.324907859608453,1.678156966557107e-05,True
SCHN,2024-03-14,2.337107325656458e-08,True,8.487008122311189e-06,False,False,1.2331014346635142e-09,4.5509045078465643e-08,2.1619842995403182,0.11641655423108954,False
SCHN,2024-03-15,4.152887679733099e-09,True,-8.757619465676139e-06,False,False,1.5951905669986376e-09,6.71058479246756e-09,5.092286203993134,0.006406040027304957,True
SCHN,2024-03-18,1.980186695804121e-08,True,1.078870945799787e-05,False,False,1.2409572410595422e-08,2.7194161505486995e-08,14.51394878970166,7.273276897606424e-07,True
SCMN,2023-12-21,1.1020744855504957e-08,True,2.460611302648888e-05,False,False,6.981206680199368e-09,1.5060283030810547e-08,15.652410754022256,1.9430378246238932e-07,True
SCMN,2023-12-22,2.870074285109174e-09,True,-3.753411655328471e-06,False,False,3.0473633615503224e-10,5.435412234063315e-09,2.537906574195718,0.07982068025806616,False
SCMN,2023-12-27,4.112300414076087e-08,True,8.146575727671262e-06,False,False,3.357936743983433e-08,4.8666640841687414e-08,57.23091854147009,3.8230740309700564e-24,True
SCMN,2023-12-28,2.912641110715362e-09,True,-3.6651225936052635e-07,False,False,1.7976517707083602e-09,4.027630450722364e-09,13.177410939683547,2.328979251016982e-06,True
SCMN,2023-12-29,9.471159378214119e-10,False,1.4519958825212428e-06,False,False,-2.2510887004911008e-09,4.145320576133925e-09,0.1701411437735072,0.8435810236659866,False
SCMN,2024-01-03,1.7112377302573295e-09,True,-7.063704610005555e-06,False,False,9.624168239666673e-10,2.4600586365479917e-09,10.358530892789293,3.372942931896638e-05,True
SCMN,2024-01-04,2.365924790545509e-08,True,3.44285381638532e-06,False,False,1.981046567220533e-08,2.7508030138704848e-08,72.83257188179307,6.614963800735146e-31,True
SCMN,2024-01-05,1.516750628857906e-09,True,-6.42155350012885e-06,False,False,5.652673893332064e-10,2.4682338683826054e-09,5.14257904771262,0.005965752646344794,True
SCMN,2024-01-08,4.923510652833661e-09,True,7.264355202406557e-06,False,False,1.795227340393072e-09,8.05179396527425e-09,4.965149522848677,0.007123873984953355,True
SCMN,2024-01-09,6.924023889415785e-10,True,-2.574030494727593e-06,False,False,4.019935118824767e-10,9.828112660006803e-10,10.954972520633383,1.915165571705855e-05,True
SCMN,2024-01-10,1.718297443746194e-09,True,-5.515959917789218e-07,False,False,1.2764969775635243e-09,2.1600979099288637e-09,29.14461108617999,4.888085466759092e-13,True
SCMN,2024-01-11,4.492024007748701e-09,True,-6.2151952394644015e-06,False,False,3.3451503826747396e-09,5.638897632822663e-09,29.98728062061646,2.048289557111105e-13,True
SCMN,2024-01-12,3.4321984745540873e-09,True,3.1063290810894536e-07,False,False,2.0022544143399133e-09,4.862142534768261e-09,11.114801919942668,1.7171198702483187e-05,True
SCMN,2024-01-15,3.527664237712595e-09,True,9.58332878071846e-06,False,False,2.6771213549540967e-09,4.378207120471093e-09,33.257438860139004,1.0430631859674239e-14,True
SCMN,2024-01-16,1.1697188566489036e-09,True,-1.2542246686361814e-07,False,False,6.318456289556554e-10,1.707592084342152e-09,9.123542546890542,0.00011605142155108362,True
SCMN,2024-01-17,2.516453011766324e-09,True,1.6180906087305342e-06,False,False,1.4502394747799017e-09,3.5826665487527466e-09,10.720037569602134,2.4198692382523607e-05,True
SCMN,2024-01-18,5.3342517651376865e-09,True,-5.396935919796296e-06,False,False,3.504249510075938e-09,7.164254020199435e-09,16.486219141374875,8.856187314595972e-08,True
SCMN,2024-01-19,3.412039167286069e-09,True,4.002396903027664e-06,False,False,1.930385501887438e-09,4.8936928326847006e-09,10.309606125016233,3.64001121100343e-05,True
SCMN,2024-01-22,3.6491293806146617e-09,True,1.2199835306766165e-05,False,False,9.183463939644323e-10,6.3799123672648915e-09,3.6630163183641744,0.02599883502851159,True
SCMN,2024-01-23,4.58893872179475e-09,True,8.087562900823388e-06,False,False,3.2835515044719625e-09,5.894325939117538e-09,24.0826703569606,5.762734256945719e-11,True
SCMN,2024-01-24,2.8408818880360567e-09,True,1.4173268267822488e-06,False,False,1.7822801246304937e-09,3.89948365144162e-09,13.923694024496923,1.0801147181957475e-06,True
SCMN,2024-01-25,2.1983545305741093e-09,False,3.455382261085511e-06,False,False,-1.1452145720151087e-09,5.541923633163327e-09,0.8586472311969584,0.42407905798841783,False
SCMN,2024-01-26,2.6507151735956916e-09,True,4.610057495277523e-06,False,False,1.5040162827562433e-09,3.79741406443514e-09,10.400610321411584,3.360291413059344e-05,True
SCMN,2024-01-29,2.453676529026888e-09,True,-3.948057579620045e-06,False,False,1.5378858119979101e-09,3.369467246055866e-09,13.821468457311116,1.180124367324248e-06,True
SCMN,2024-01-30,1.2891558895949344e-09,False,-4.506353017027725e-06,False,False,-8.683300314109513e-10,3.44664181060082e-09,0.7330396967022856,0.48063749114570586,False
SCMN,2024-01-31,1.1489786596133995e-09,False,3.565186262336228e-05,False,False,-2.4549708728474665e-09,4.7529281920742654e-09,0.29815769159762645,0.7422398621831428,False
SCMN,2024-02-01,1.8428025675479314e-09,True,2.270409074224843e-05,True,True,9.824305634249787e-10,2.7031745716708843e-09,11.218940307936585,1.4951332738303078e-05,True
SCMN,2024-02-02,1.668127650355173e-09,True,-4.127464822177298e-06,False,False,7.591603110238542e-10,2.5770949896864915e-09,6.604476607065719,0.00141341553553876,True
SCMN,2024-02-05,8.468078394166925e-10,False,7.05884219217008e-06,False,False,-8.094434698361732e-11,1.7745600258170023e-09,2.271876126828834,0.10364370987883009,False
SCMN,2024-02-06,1.8293031098735837e-09,True,2.9250080221298633e-06,False,False,1.3287067868421144e-09,2.329899432905053e-09,26.32698174932112,6.414344299179983e-12,True
SCMN,2024-02-07,1.2047934473066815e-09,True,2.0960751420077207e-06,False,False,6.356931468877741e-10,1.773893747725589e-09,8.619587916704532,0.0001868244024686631,True
SCMN,2024-02-08,4.434466507001224e-09,True,2.954810268556648e-05,True,True,3.732402678549703e-09,5.136530335452744e-09,82.04021066819385,6.806458895265047e-35,True
SCMN,2024-02-09,9.923167888193752e-10,True,-7.612469045887806e-06,False,False,3.942666684939236e-10,1.5903669091448266e-09,5.692855743436623,0.0034229618174631427,True
SCMN,2024-02-12,1.8843817341268174e-09,True,-8.465677275318613e-06,False,False,7.969266662818222e-10,2.9718368019718126e-09,5.946759988696544,0.002656277042286717,True
SCMN,2024-02-13,1.1669572306952835e-09,True,1.2598814893648501e-05,False,False,1.287954843029488e-10,2.205118977087618e-09,2.6791518821552827,0.06897543281826236,False
SCMN,2024-02-14,1.2765046302259392e-09,True,-2.0866573334628688e-08,False,False,8.933796040926847e-10,1.6596296563591938e-09,21.391483913123366,7.458174444196698e-10,True
SCMN,2024-02-15,1.7866675569954284e-09,True,-2.642413663850266e-06,False,False,1.2095231952176859e-09,2.363811918773171e-09,18.453329055036775,1.312311380384655e-08,True
SCMN,2024-02-16,2.6812341440027626e-09,True,-1.4095163454400591e-06,False,False,1.3211668233981725e-09,4.0413014646073526e-09,7.495873996274212,0.000582527061269619,True
SCMN,2024-02-19,3.64485993530495e-09,True,-3.341378137868406e-07,False,False,2.08672514440467e-09,5.20299472620523e-09,10.537130201785946,2.9739902819478923e-05,True
SCMN,2024-02-20,3.0409802340455902e-09,True,2.9338728057830806e-06,False,False,2.131721262096137e-09,3.9502392059950436e-09,21.585485275457923,5.759441600991765e-10,True
SCMN,2024-02-21,6.036749230068743e-09,True,-9.772054960159566e-07,False,False,2.6441367103424593e-09,9.429361749795028e-09,6.103409133589441,0.002310889112128272,True
SCMN,2024-02-22,1.0579346323038058e-09,True,1.5997362525039193e-06,False,False,1.9991809798393697e-10,1.915951166623675e-09,2.9329539439199195,0.053721309953992685,False
SCMN,2024-02-23,2.7516049228576504e-09,True,-2.8433296794695143e-06,False,False,2.06602415142733e-09,3.437185694287971e-09,31.011103428928536,8.052033872397357e-14,True
SCMN,2024-02-26,2.476504502764707e-09,True,-8.637321683011991e-07,False,False,1.3324566298207415e-09,3.6205523757086723e-09,9.02720554452692,0.0001291698301508313,True
SCMN,2024-02-27,2.139538763815448e-09,True,1.461058208835768e-05,False,False,1.4119460174864276e-09,2.8671315101444684e-09,17.496821684373973,3.141479327239266e-08,True
SCMN,2024-02-29,1.5939002495470478e-09,True,3.4354404839785693e-06,False,False,1.0734511746864138e-09,2.1143493244076816e-09,18.08097325371153,2.050489844022256e-08,True
SCMN,2024-03-01,2.1179934367076947e-09,True,3.875881811517604e-06,False,False,1.2054164667287544e-09,3.0305704066866348e-09,10.705732721900537,2.4910515841632525e-05,True
SCMN,2024-03-04,8.927380128843226e-10,False,-3.892481607452236e-08,False,False,-1.7524346827411056e-10,1.9607194940427557e-09,1.346797338356451,0.2605484037386992,False
SCMN,2024-03-05,6.50121266777191e-09,True,-3.4158695822458883e-07,False,False,3.892465406157976e-09,9.109959929385843e-09,11.964555131713553,7.408374238502531e-06,True
SCMN,2024-03-06,5.767516666676809e-09,True,6.662406433591046e-07,False,False,4.461984131418923e-09,7.073049201934694e-09,37.60588723033788,1.8210902335261997e-16,True
SCMN,2024-03-07,1.5770831668095645e-09,False,9.450054824493645e-06,False,False,-4.236238095252354e-10,3.5777901431443643e-09,1.5513531810749115,0.21239626910242773,False
SCMN,2024-03-08,2.2371555123178744e-09,True,5.984583365704832e-06,False,False,1.1486186726142681e-09,3.3256923520214808e-09,8.24647725862074,0.00027926937557135045,True
SCMN,2024-03-11,4.4234517425073875e-09,True,4.9504375189225815e-06,False,False,3.117497268239334e-09,5.729406216775441e-09,22.155258762773418,3.9858068793655914e-10,True
SCMN,2024-03-12,2.8462794053735493e-09,True,2.3349841847242037e-06,False,False,1.9689875794478787e-09,3.72357123129922e-09,20.352346385294826,2.086588232760006e-09,True
SCMN,2024-03-13,1.0647044056581346e-09,True,2.4940266671624737e-06,False,False,6.422411970005794e-10,1.4871676143156898e-09,12.296843904178413,5.2361635200805085e-06,True
SCMN,2024-03-14,2.1052216476903178e-09,True,-9.8022063007035e-07,False,False,1.7262973110406848e-09,2.484145984339951e-09,59.46671214958765,3.3693661543146545e-25,True
SCMN,2024-03-15,6.143577819517022e-10,True,-8.755894921433508e-06,False,False,2.593605229231768e-10,9.693550409802277e-10,5.796282442231677,0.003071232150277364,True
SCMN,2024-03-18,7.8120751680203e-10,True,5.306173011979418e-06,False,False,1.7650576123174398e-10,1.385909272372316e-09,3.3146990949163424,0.03662780917806242,True
SIKA,2023-12-21,6.626447762864742e-10,True,1.6246034860293556e-05,True,True,4.41473016031298e-10,8.838165365416503e-10,21.350281855138824,6.696055992849393e-10,True
SIKA,2023-12-22,1.3031474929450254e-09,True,3.871940214210536e-06,False,False,9.970086807037247e-10,1.609286305186326e-09,35.091444983483036,1.860104343922252e-15,True
SIKA,2023-12-27,9.820160968311028e-10,True,-1.4540617018864665e-05,False,False,6.777525173304543e-10,1.2862796763317514e-09,21.515006215335855,6.579547496675505e-10,True
SIKA,2023-12-28,5.445998954304864e-10,False,-4.278249355992346e-06,False,False,-1.2124103015039128e-10,1.2104408210113641e-09,1.292826553761298,0.27481266378104285,False
SIKA,2023-12-29,3.621192780788211e-10,True,9.925207064959054e-06,True,True,1.1690934731387526e-10,6.073292088437669e-10,6.537825649612196,0.0015248316638914385,True
SIKA,2024-01-03,5.423308225677039e-10,True,1.194351378701339e-05,False,False,3.34112747626707e-10,7.505488975087009e-10,13.186222304532226,1.975605461311621e-06,True
SIKA,2024-01-04,8.316564757966762e-10,True,-2.033051363520169e-05,False,False,4.615117332699353e-10,1.201801218323417e-09,10.555524278165558,2.7435333344419793e-05,True
SIKA,2024-01-05,4.6211467819619984e-10,True,5.727566035479675e-06,False,False,2.7967914926769364e-10,6.44550207124706e-10,12.575542000911343,3.7276940632709765e-06,True
SIKA,2024-01-08,9.81203634457187e-10,True,2.2113107467209295e-05,True,True,6.049657993636708e-10,1.3574414695507032e-09,15.418842353100873,2.2781540201066354e-07,True
SIKA,2024-01-09,5.331882056769432e-10,False,1.5770139218349224e-05,False,False,-4.271068310713407e-11,1.1090870944610204e-09,1.7491528086831132,0.17421395167176135,False
SIKA,2024-01-10,8.797665058059646e-10,True,4.8730886700307775e-06,False,False,4.032826444697079e-10,1.3562503671422212e-09,6.567818409762632,0.0014207011818129142,True
SIKA,2024-01-11,7.051141237627536e-10,True,6.544322275848072e-06,False,False,3.556004108501165e-10,1.0546278366753907e-09,7.841069728486787,0.00039975492029385636,True
SIKA,2024-01-12,2.6352450710758883e-10,True,5.220785940650452e-06,False,False,4.9731667968905246e-11,4.773173462462724e-10,3.259921939561472,0.038610033980817186,True
SIKA,2024-01-15,5.943495609735766e-10,True,-1.0186511391291096e-06,False,False,4.321005508416902e-10,7.565985711054631e-10,25.959850191797926,7.826165567680886e-12,True
SIKA,2024-01-16,2.539991708520809e-10,True,5.053499051560453e-06,False,False,1.3363648208701319e-11,4.946346934954605e-10,2.1716901970380578,0.11423723673783405,False
SIKA,2024-01-17,2.441087924982419e-10,True,6.073314227758869e-06,False,False,1.68567568657612e-10,3.1965001633887174e-10,20.352516631992785,1.756641174900406e-09,True
SIKA,2024-01-18,5.058421705374698e-10,True,2.960089011374348e-06,False,False,3.7565029167996773e-10,6.36034049394972e-10,29.171825048490327,3.1777098313945705e-13,True
SIKA,2024-01-19,6.478208421832793e-10,True,5.7094158755331e-07,False,False,5.428884686675434e-10,7.527532156990151e-10,73.338922123022,2.712625704253386e-31,True
SIKA,2024-01-22,5.019975021960677e-10,True,-6.728280123359893e-08,False,False,3.66627616364214e-10,6.373673880279214e-10,26.462441539852577,4.43869019958735e-12,True
SIKA,2024-01-23,6.82333055130803e-10,True,-9.963517029931094e-06,False,False,1.261856017835934e-10,1.2384805084780125e-09,3.1542639950185984,0.04289076615691357,True
SIKA,2024-01-24,1.5575622506224208e-10,True,1.6531243677904943e-05,False,False,7.23594382285112e-11,2.3915301189597294e-10,8.810763085573843,0.00015531584181520416,True
SIKA,2024-01-25,4.221127690690426e-10,True,1.195257480932425e-06,False,False,3.259923779379692e-10,5.18233160200116e-10,37.08306883134847,1.4488201751766618e-16,True
SIKA,2024-01-26,5.889934561459713e-10,True,9.264665599052889e-06,False,False,4.5363799532041493e-10,7.243489169715276e-10,37.421513507174716,1.1782626344988528e-16,True
SIKA,2024-01-29,1.3673230541803772e-09,True,1.3281352090913327e-05,False,False,1.118129225678326e-09,1.6165168826824283e-09,59.21097751056367,1.5279134645874358e-25,True
SIKA,2024-01-30,5.570731127724895e-10,True,4.127063239122342e-06,False,False,4.380468482825659e-10,6.760993772624131e-10,42.493258049516314,8.240120011656245e-19,True
SIKA,2024-01-31,3.7581353054909973e-10,True,-3.0030253510725344e-06,False,False,2.248251715788979e-10,5.268018895193016e-10,11.93297647069991,7.104853901517625e-06,True
SIKA,2024-02-01,7.007947250004947e-10,True,2.0734435000877053e-05,False,False,2.362708532164935e-10,1.165318596784496e-09,5.319892160472701,0.004978820446620182,True
SIKA,2024-02-02,1.8807695909369946e-09,True,1.1880484489665302e-05,False,False,1.4775951814414404e-09,2.2839440004325488e-09,42.193171027189145,1.1694853504235433e-18,True
SIKA,2024-02-05,3.8788641366678146e-10,True,6.409284868090473e-06,False,False,6.800118330935055e-11,7.077716440242124e-10,2.935904293830056,0.05336467848555643,False
SIKA,2024-02-06,3.80035682449997e-10,True,1.0337011372378953e-06,False,False,1.5913588178762173e-10,6.009354831123722e-10,5.695708077942502,0.0034175694695334482,True
SIKA,2024-02-07,1.0626256699074646e-09,True,9.559552364907834e-06,False,False,8.934840869299646e-10,1.2317672528849646e-09,76.26164913846877,1.563615355818852e-32,True
