,Date,ABBN,CLN,DOKA,GIVN,KUD,LISN,LONN,NESN,SCHN,SCMN,SIKA,SRENH,UBSG,UHR,VLRT,ABBN_30d_MA,CLN_30d_MA,DOKA_30d_MA,GIVN_30d_MA,KUD_30d_MA,LISN_30d_MA,LONN_30d_MA,NESN_30d_MA,SCHN_30d_MA,SCMN_30d_MA,SIKA_30d_MA,SRENH_30d_MA,UBSG_30d_MA,UHR_30d_MA,VLRT_30d_MA,ABBN_Expanding_Avg,CLN_Expanding_Avg,DOKA_Expanding_Avg,GIVN_Expanding_Avg,KUD_Expanding_Avg,LISN_Expanding_Avg,LONN_Expanding_Avg,NESN_Expanding_Avg,SCHN_Expanding_Avg,SCMN_Expanding_Avg,SIKA_Expanding_Avg,SRENH_Expanding_Avg,UBSG_Expanding_Avg,UHR_Expanding_Avg,VLRT_Expanding_Avg,ABBN_Avg,CLN_Avg,DOKA_Avg,GIVN_Avg,KUD_Avg,LISN_Avg,LONN_Avg,NESN_Avg,SCHN_Avg,SCMN_Avg,SIKA_Avg,SRENH_Avg,UBSG_Avg,UHR_Avg,VLRT_Avg
10,2024-01-10,7.343581276281427e-11,4.685232688477209e-10,1.142950742133952e-07,2.894149186034655e-08,3.576682670396577e-07,6.128542697199808e-06,4.5845895598067414e-10,2.2534841121292422e-11,4.7737196477834455e-08,1.718297443746194e-09,8.797665058059646e-10,2.520191756519924e-10,4.3335660144836034e-11,2.4664497251892955e-09,8.565379656097743e-05,,,,,,,,,,,,,,,,1.0351545172065977e-10,5.208322873700185e-10,8.631829445093072e-08,2.4883877300026776e-08,6.912217633990551e-07,1.9887600585074333e-05,3.33563532591826e-09,4.5906352056414655e-11,3.4835795951316467e-08,8.463184280000322e-09,7.349807147338712e-10,3.6893369232359887e-10,4.520316345856823e-11,1.6114422765750008e-09,0.0008885185114102296,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,3.166629842576196e-08,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,0.009231729386392903
11,2024-01-11,1.4418497903151928e-10,2.1576471247065496e-10,2.1285630709731978e-08,4.0505153713028136e-08,-0.0004306850524953,6.515888596333012e-06,5.101525242531597e-10,7.670270785683143e-11,1.1432965539850871e-08,4.492024007748701e-09,7.051141237627535e-10,2.484561376893126e-10,5.074230582797413e-11,1.574602201532878e-09,,,,,,,,,,,,,,,,,1.0690457899656472e-10,4.954099894617382e-10,8.089890580583083e-08,2.6185650334443556e-08,-3.5256801091492535e-05,1.8773291252679223e-05,3.100178425779501e-09,4.847271503978272e-11,3.191044214988327e-08,8.132254257312687e-09,7.324918321529448e-10,3.58893896104075e-10,4.566475865601872e-11,1.6080931788438985e-09,,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,3.166629842576196e-08,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,
12,2024-01-12,1.1292155103239266e-10,1.4155849266569343e-10,3.0188393332949827e-08,2.6042555468597053e-08,3.862321315554869e-06,1.5651895045613264e-05,2.5110425979440542e-09,3.8355076714086235e-11,5.276116064034417e-09,3.4321984745540873e-09,2.6352450710758883e-10,2.7186897721830804e-10,3.5962840886796355e-11,1.066802409346025e-09,1.3352190875535104e-05,,,,,,,,,,,,,,,,1.0736742299932072e-10,4.681906435543502e-10,7.699809715407075e-08,2.6174643037070747e-08,-3.2247637829411966e-05,1.8533183852135688e-05,3.0548602851767746e-09,4.7694435168575305e-11,2.895107258478895e-08,7.770711504792795e-09,6.964174225340714e-10,3.521996715744006e-10,4.4918457289155465e-11,1.562985614719076e-09,0.0007634947513338447,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,3.166629842576196e-08,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,0.009231729386392903
13,2024-01-15,9.081928785899767e-11,1.1141918898689775e-09,1.5102649090053816e-07,1.5559610467524232e-08,2.365680426619186e-07,2.7389745109895257e-05,1.1614887745566834e-09,3.2843793277117556e-11,3.968238984039241e-08,3.527664237712595e-09,5.943495609735765e-10,1.8714989774725447e-10,8.014653074000701e-11,3.6269648939925197e-09,-0.0028612675767638,,,,,,,,,,,,,,,,1.061854133464405e-10,5.143335897196807e-10,8.22858395645327e-08,2.541642642496028e-08,-2.9927337409978114e-05,1.9165795370547087e-05,2.919619462989625e-09,4.663367503347118e-11,3.0024204310349295e-08,7.467636700001353e-09,6.89126860994036e-10,3.4041040201531874e-10,4.743474824993058e-11,1.721753251586264e-09,0.0003103994603216391,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,3.166629842576196e-08,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,0.009231729386392903
14,2024-01-16,7.604242895686829e-11,1.7456587902070439e-10,9.375980367662667e-08,9.470184110416363e-09,0.0001320100562738,9.051660547371094e-06,6.801336816925597e-10,1.509897560580345e-11,2.438943030111911e-08,1.1697188566489034e-09,2.539991708520809e-10,2.2856628710300257e-10,4.4462412990151346e-11,3.538015211670938e-09,4.381097506117604e-06,,,,,,,,,,,,,,,,1.0417588105380236e-10,4.916824090064157e-10,8.305077050533898e-08,2.4353343603990687e-08,-1.9131511164392908e-05,1.8491519715668687e-05,2.7703204109031542e-09,4.4531361738293326e-11,2.9511952127692008e-08,7.047775510444522e-09,6.601183483179057e-10,3.32954127687831e-10,4.72365925659453e-11,1.8514862487351691e-09,0.0002763974200088034,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,3.166629842576196e-08,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,0.009231729386392903
15,2024-01-17,3.173362271710694e-11,9.428365972846611e-10,4.5442622432948064e-08,3.843767125937166e-09,4.240871681171951e-07,2.5935457818678613e-06,1.3016417061766604e-09,3.6200359535856056e-11,6.6757953919996214e-09,2.516453011766324e-09,2.441087924982419e-10,6.281848584293205e-11,2.4260368910166565e-11,1.5204287901612794e-09,5.187515882362651e-05,,,,,,,,,,,,,,,,9.96482399077589e-11,5.19879545773806e-10,8.070026125081454e-08,2.3071495074112343e-08,-1.7909286268611027e-05,1.7497896344806137e-05,2.678527991857748e-09,4.4010674100641e-11,2.7608939066384308e-08,6.764567854277134e-09,6.341177510791766e-10,3.160706500725248e-10,4.5800578587459125e-11,1.8294157514969098e-09,0.00025394519389028566,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,3.166629842576196e-08,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,0.009231729386392903
16,2024-01-18,3.376001933481973e-11,1.4465252475893635e-10,7.458199198293459e-07,1.157596444490082e-08,3.32850768724809e-07,2.602801498450765e-06,2.0681171007263183e-09,4.7769677864856416e-11,3.4467775009596975e-08,5.3342517651376865e-09,5.058421705374697e-10,1.413231099402239e-10,4.145444742579715e-11,4.400902740244734e-09,-1.925616431696214e-05,,,,,,,,,,,,,,,,9.577246222699776e-11,4.978073680670489e-10,1.198249470495517e-07,2.2395287390041075e-08,-1.683621938406186e-05,1.6621714295020527e-05,2.642621468850017e-09,4.4231791969124255e-11,2.813654183124682e-08,6.68043161373952e-09,6.265721286943704e-10,3.057913830059189e-10,4.5544923813243715e-11,1.990133688293649e-09,0.0002291087067805359,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,3.166629842576196e-08,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,0.009231729386392903
17,2024-01-19,1.585251428831211e-11,1.8097274154760682e-09,1.7705187568088446e-07,7.075439062447624e-09,-2.782337360045837e-08,8.597880144579145e-06,3.337875866518621e-09,6.26916577781641e-12,3.1422608605171375e-08,3.412039167286069e-09,6.478208421832793e-10,1.9275964866315855e-10,3.1378148556037396e-11,4.742135789981781e-09,,,,,,,,,,,,,,,,,9.1332465119293e-11,5.706918151453277e-10,1.230042208624035e-07,2.154418470517477e-08,-1.5902419605702894e-05,1.6175945731107115e-05,2.6812467131649395e-09,4.212275718071827e-11,2.837126088652715e-08,6.498854255603217e-09,6.277526127770875e-10,2.9951184220909885e-10,4.4757880743398913e-11,2.152016164863539e-09,,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,3.166629842576196e-08,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,
18,2024-01-22,3.0120712163233534e-11,2.0892646849740955e-10,4.2357730011157675e-08,8.209986068393721e-09,1.200925802732316e-07,6.245059138114094e-06,1.0578057119609727e-09,2.0237441026510396e-10,7.677503985942805e-08,3.6491293806146613e-09,5.019975021960677e-10,8.919363756486713e-11,4.8805737042654136e-11,2.4975816835001515e-09,-2.8362372278786104e-06,,,,,,,,,,,,,,,,8.811079391107935e-11,5.516515337428058e-10,1.1875966871233794e-07,2.084238477692314e-08,-1.5059129490651518e-05,1.565326748937064e-05,2.595802449943678e-09,5.0557054711475406e-11,3.1598179484720543e-08,6.348868735866978e-09,6.211339227465075e-10,2.884424630172972e-10,4.497092581178077e-11,2.1712142492322396e-09,0.00020977996144650132,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,3.166629842576196e-08,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,0.009231729386392903
19,2024-01-23,6.137195802971204e-11,6.459902182985773e-10,5.171251653355429e-08,2.9217196063484556e-08,9.490484510763346e-08,1.036162417888334e-05,1.17640283142943e-09,5.4248114150719885e-11,1.748704088208664e-08,4.58893872179475e-09,6.82333055130803e-10,4.4091953684097096e-10,5.82976132759706e-11,2.0458872436374908e-10,0.0001563687703682,,,,,,,,,,,,,,,,8.677385211701098e-11,5.563684679705943e-10,1.1540731110339875e-07,2.126112534125121e-08,-1.430142777386356e-05,1.5388685323846276e-05,2.5248324690179657e-09,5.0741607683437626e-11,3.071623332205592e-08,6.2608722351633655e-09,6.241938793657223e-10,2.960663167084809e-10,4.5637260184990264e-11,2.067707642660214e-09,0.00020567140828663203,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,3.166629842576196e-08,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,0.009231729386392903
20,2024-01-24,1.0848953922022066e-10,5.111187745355865e-10,7.358534479816175e-08,2.237156672220549e-08,2.3002509724682413e-08,5.3555406908688566e-06,6.8869500735028e-10,1.4102566961436934e-11,1.1554585981767518e-08,2.8408818880360567e-09,1.5575622506224208e-10,1.0754514527718916e-10,3.771752220524449e-11,6.843793765817689e-10,0.0156995782937541,,,,,,,,,,,,,,,,8.780793245525906e-11,5.542137206641654e-10,1.1341578889838747e-07,2.1314003502249032e-08,-1.3619312046073644e-05,1.4910916531799731e-05,2.437397351795695e-09,4.899689145858046e-11,2.9589077596156607e-08,6.0980155519668265e-09,6.0188732439889e-10,2.8708911806889557e-10,4.526012980500237e-11,1.9985412293562917e-09,0.0013123790429628798,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,3.166629842576196e-08,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,0.009231729386392903
21,2024-01-25,5.488945417162048e-11,2.118701753934116e-10,1.541787600390043e-07,3.528765437884162e-09,2.187181489711624e-08,5.9984512175681946e-05,4.53322683800305e-10,1.364240056874435e-11,1.444975277244806e-08,2.198354530574109e-09,4.221127690690426e-10,1.0260173513074387e-10,2.3697154855823132e-11,5.49250746245598e-10,,,,,,,,,,,,,,,,,8.631163798782094e-11,5.386526504245856e-10,1.1526865122296096e-07,2.0505583590232448e-08,-1.2999258234211338e-05,1.6959716333794377e-05,2.347212139614086e-09,4.7389869145406085e-11,2.8748003994839467e-08,5.920758232812613e-09,5.937157537020787e-10,2.787033279353432e-10,4.427999458003968e-11,1.929527396827211e-09,,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,3.166629842576196e-08,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,
22,2024-01-26,4.194706130942509e-11,3.338316760538798e-10,4.189647540927288e-08,2.1379523841559623e-08,1.810190253028255e-06,6.359198659390425e-05,1.955894824007527e-09,4.141099110198828e-12,1.4861848458176076e-08,2.6507151735956916e-09,5.889934561459712e-10,1.6460023792061514e-10,3.868693650087366e-11,8.538801978150072e-10,-8.364653531396463e-05,,,,,,,,,,,,,,,,8.438274334962982e-11,5.297473906693376e-10,1.1207855662236582e-07,2.0543580992464064e-08,-1.2355369169548746e-05,1.8987206345103503e-05,2.330198343283366e-09,4.550948783952751e-11,2.8017153703436128e-08,5.778582447629268e-09,5.935104364170305e-10,2.7374232402165936e-10,4.4036818141815065e-11,1.8806343423266562e-09,0.0012193106710777569,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,3.166629842576196e-08,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,0.009231729386392903
23,2024-01-29,2.2737748163035708e-11,4.5158286428332e-10,1.0049399641720541e-07,1.0324599098561965e-07,-1.068995809575069e-07,1.7917525759712833e-05,5.4077419388447365e-09,1.8572253176027503e-11,1.3869870069335823e-08,2.453676529026888e-09,1.367323054180377e-09,1.60269953919873e-10,3.45388913859481e-11,2.6718016038555603e-09,0.064005462060814,,,,,,,,,,,,,,,,8.181420188352173e-11,5.264905354032535e-10,1.1159586661381748e-07,2.3989514742178883e-08,-1.1845016270024112e-05,1.8942636320712226e-05,2.458429326431757e-09,4.4387103061881675e-11,2.7309789521731115e-08,5.640044701020836e-09,6.257526288238366e-10,2.690143086007516e-10,4.3641071193653943e-11,1.9150329189148697e-09,0.005143445132936272,6.38451496733981e-11,7.586624601437529e-10,1.6750565306858564e-07,1.786179704780045e-08,-3.9874425360963045e-06,1.1828009174316283e-05,1.5530942590732111e-09,3.291484947129459e-11,3.166629842576196e-08,3.673871810585078e-09,6.916960938271624e-10,2.6447308485115827e-10,3.745429391590349e-11,1.4696239826108772e-09,0.009231729386392903
