,RIC,Date,Gamma Estimate,CI Lower Bound,CI Upper Bound
97,DOKA.S,2024-03-11,4.417812799303822e-08,2.3367041837466094e-08,6.498921414861034e-08
98,DOKA.S,2024-03-12,1.8352219240726756e-06,-1.3707896963151165e-06,5.041233544460468e-06
99,GIVN.S,2024-01-26,2.1379796587540577e-08,1.3725720936480384e-08,2.903387223860077e-08
100,GIVN.S,2024-01-29,1.032187935042874e-07,5.834461997756144e-08,1.4809296703101336e-07
101,GIVN.S,2024-01-30,3.3032700026003786e-09,-1.1799683978813921e-08,1.8406223984014677e-08
102,GIVN.S,2024-01-31,1.4849620185500644e-08,5.274673864105926e-09,2.4424566506895362e-08
103,GIVN.S,2024-02-01,1.1814695358806828e-08,4.535485308769865e-09,1.909390540884379e-08
104,GIVN.S,2024-02-02,6.477280450409363e-09,-3.124330893713151e-09,1.6078891794531876e-08
105,GIVN.S,2024-02-05,2.135059569896678e-08,3.960813690992208e-09,3.8740377706941353e-08
106,GIVN.S,2024-02-06,4.227708255711447e-08,1.8303630868622197e-08,6.625053424560674e-08
107,GIVN.S,2024-02-07,7.492127315809725e-09,1.853426127843372e-09,1.313082850377608e-08
108,GIVN.S,2024-02-08,2.7645565962153116e-09,-3.032777372239127e-09,8.56189056466975e-09
109,GIVN.S,2024-02-09,3.027460244157872e-08,2.2334733528599678e-08,3.821447135455776e-08
110,GIVN.S,2024-02-12,5.7168222557144e-09,2.640121559132541e-10,1.1169632355515546e-08
111,GIVN.S,2024-02-13,6.021140239637997e-09,2.835798555664365e-09,9.206481923611629e-09
112,GIVN.S,2024-02-14,3.3231462615229958e-09,1.9309557273053644e-10,6.453196950315455e-09
113,GIVN.S,2024-02-15,1.571432238665623e-08,2.9924105617724367e-09,2.8436234211540026e-08
114,GIVN.S,2024-02-16,5.7889907744772636e-08,3.275139843842457e-08,8.30284170511207e-08
115,GIVN.S,2024-02-19,1.1737247766274213e-08,-1.5112298445252516e-08,3.858679397780094e-08
116,GIVN.S,2024-02-20,9.058066185424203e-09,-1.9844130706109717e-08,3.796026307695812e-08
117,GIVN.S,2024-02-21,5.722471619517553e-09,1.1433769214397572e-10,1.1330605546891131e-08
118,GIVN.S,2024-02-22,2.1695707623861035e-09,-9.895047786853674e-09,1.423418931162588e-08
119,GIVN.S,2024-02-23,3.6447001327797913e-09,-9.382176183728384e-10,8.227617883932422e-09
120,GIVN.S,2024-02-26,8.495487619383526e-09,-8.364289130576386e-09,2.535526436934344e-08
121,GIVN.S,2024-02-27,1.0735878574130967e-08,-1.888955546391988e-08,4.036131261218181e-08
122,GIVN.S,2024-03-07,4.612652544662805e-09,3.445172082756557e-10,8.880787881049953e-09
123,GIVN.S,2024-03-08,1.608856026457281e-08,1.1466662688414882e-08,2.071045784073074e-08
124,GIVN.S,2024-03-11,3.5867017693402274e-09,1.1726059875609247e-09,6.0007975511195305e-09
125,GIVN.S,2024-03-12,7.072233141842843e-07,1.7881407690311904e-07,1.2356325514654494e-06
126,KUD.S,2024-01-26,4.986889612125116e-07,-3.7746361417313227e-06,4.772014064156346e-06
127,KUD.S,2024-01-29,-1.6020138720079874e-07,-1.3219983985734865e-06,1.0015956241718891e-06
128,KUD.S,2024-01-30,1.975055434126472e-05,1.7703192061014909e-06,3.773078947642795e-05
129,KUD.S,2024-01-31,2.1053386597504894e-07,-4.1974972030148203e-07,8.408174522515799e-07
130,KUD.S,2024-02-01,-2.741729723520692e-06,-0.00010954502882612821,0.00010406156937908681
131,KUD.S,2024-02-02,-3.7014638009796017e-07,-5.403865340024011e-06,4.66357257982809e-06
132,KUD.S,2024-02-05,9.115631950142015e-08,7.57839554965633e-08,1.06528683506277e-07
133,KUD.S,2024-02-06,8.652009743714089e-07,-1.2580198309125056e-07,1.8562039318340683e-06
134,KUD.S,2024-02-07,-1.5213976571508126e-07,-4.026563153918057e-07,9.837678396164314e-08
135,KUD.S,2024-02-08,1.3936694769337744e-07,-4.899094542210497e-07,7.686433496078045e-07
136,KUD.S,2024-02-09,7.322446131953778e-08,1.0168922001545873e-08,1.3628000063752967e-07
137,KUD.S,2024-02-12,4.6744102534601567e-08,-1.782227841104251e-07,2.7171098917962824e-07
138,KUD.S,2024-02-13,2.5506000444829797e-05,-3.637261404751791e-05,8.73846149371775e-05
139,KUD.S,2024-02-14,3.674070716947459e-07,1.5300764839121644e-07,5.818064949982754e-07
140,KUD.S,2024-02-15,6.643954143910649e-08,-4.379372345999414e-07,5.708163174781544e-07
141,KUD.S,2024-02-16,5.799725727413508e-08,-2.1313892621961599e-07,3.2913344076788616e-07
142,KUD.S,2024-02-19,5.627520753570589e-09,-3.3776189758549353e-09,1.4632660482996113e-08
143,KUD.S,2024-02-20,1.9104720827311798e-08,-6.611799548124105e-08,1.0432743713586464e-07
144,KUD.S,2024-02-21,1.4488231456795064e-07,-1.7813188547478193e-07,4.678965146106832e-07
145,KUD.S,2024-02-22,5.751744765015959e-07,1.3616539138980985e-08,1.136732413864211e-06
146,KUD.S,2024-02-23,5.137381693813267e-07,1.7420012673255358e-07,8.532762120300999e-07
147,KUD.S,2024-02-26,4.4132198590416327e-08,-1.7096211090979303e-07,2.5922650809062565e-07
148,KUD.S,2024-02-27,-8.118430669117892e-09,-7.20043640458567e-08,5.576750270762091e-08
149,KUD.S,2024-02-28,1.4991357104525222e-08,-7.459998332394166e-07,7.75982547448467e-07
150,KUD.S,2024-02-29,2.4908127341487075e-08,-4.021165520463406e-08,9.002790988760821e-08
151,KUD.S,2024-03-01,6.677387428885507e-07,-1.042366030785244e-07,1.439714088855626e-06
152,KUD.S,2024-03-04,-3.9560986352026636e-08,-5.738324016650518e-07,4.947104289609985e-07
153,KUD.S,2024-03-05,2.7128153198313226e-08,-2.927139881692007e-07,3.469702945658271e-07
154,KUD.S,2024-03-06,1.6146213954699576e-08,-2.8734111928257995e-07,3.1963354719197913e-07
155,KUD.S,2024-03-07,2.5595505394411685e-06,-0.0001396114097335659,0.00014473051081244825
156,KUD.S,2024-03-08,1.6343442192234021e-06,-8.350978904439131e-06,1.1619667342885935e-05
157,KUD.S,2024-03-11,1.3996640790897985e-07,-1.333442149201357e-07,4.132770307380954e-07
158,LISN.S,2024-01-26,5.9486201613697965e-05,2.086654025086578e-05,9.810586297653016e-05
159,LISN.S,2024-01-29,1.6993185099286408e-05,-3.1443726886201306e-06,3.713074288719294e-05
160,LISN.S,2024-01-30,2.366069438807831e-05,2.115238727114258e-06,4.5206150049042365e-05
